Peragrin Category,Sub Category,Beltline Category,Company Name,Promotion Names,Descriptions ,Exclusions,Geo,Street,City,State,Zip,Email,Phone,Website,Facebook,Twitter,Instagram,Hours
Entertainment,Tourist Attractions,Entertainment,Atlanta Movie Tours,10% off,Makes your movie tour THAT much better :),,"33.751612,-84.4007157",327 Nelson ST SW,Atlanta,GA,30313,info@atlantamovietours.com,855-255-3456,www.atlantamovietours.com,facebook.com/ATLMovieTours,ATLMovieTours,atlmovietours,"0, 1100, 1700
1, 1100, 1700
2, 1100, 1700
3, 1100, 1700
4, 1100, 1700
5, 1100, 1700
6, 1100, 1700
"
Entertainment,Recreation,Health,Civil Bikes,$5 off scheduled tour or bike rental,Please call or email to book.,,"33.7595174,-84.373247",344 Auburn AVE NE,Atlanta,GA,30312,civilbikes@gmail.com,(404) 323-8754,www.civilbikes.com,facebook.com/civilbikestours,CivilBikes,civil_bikes,"0, 1100, 1300
2, 1000, 1200
3, 1000, 1200
4, 1000, 1200
6, 1100, 1300"
Health,Chiropractic,Health,Any Spine Chiropractic Center,50% off Exam and Consultation,Keep those vertebra in line!,,"33.7638333,-84.3595548",346 Copenhill AVE NE,Atlanta,GA,30307,info@anyspine.com,(404) 997-2207,www.anyspine.com,facebook.com/anyspinechiropractic,AnySpine,anyspine,"1, 800, 2000
2, 700, 2000
3, 800, 2100
4, 700, 2000
5, 800, 1600"
Health,Fitness,Health,Bien-Aimé Strength & Stretch Studio,20% off three sessions,Show off those new muscles for the family vacation!,,"33.7465088,-84.3679445",663 Memorial Drive,Atlanta,GA,30312,,(678) 365-5770,www.bienaimefitness.com,facebook.com/bienaimestrengthstretchstudio,,,Unclaimed
Health,Fitness,Health,Big Peach Running Co.,10% off,Georgia peaches are always better with a litte discount!,,"33.7764192,-84.384936","800 Peachtree St NE, Suite B&C",Atlanta,GA,30308,,(404) 602-9903,https://www.bigpeachrunningco.com/,facebook.com/BigPeachRunningCo,PeachyRuns,bigpeachrunningco,"0, 1200, 1700
1, 1000, 2000
2, 1000, 2000
3, 1000, 2000
4, 1000, 2000
5, 1000, 2000
6, 900, 1800"
Health,Fitness,Health,Fitness Battalion,20% off first month,Valid at any park locations!,,"33.7882957,-84.4201336",1242 Booth St,Atlanta,GA,30318,bootcamp@fitnessbattalion.com,678-779-8572,www.fitnessbattalion.com,facebook.com/fitnessbattalion,Fbcrossfit,,"1, 530, 830
1, 1700, 2000
2, 530, 830
2, 1700, 2000
3, 530, 830
3, 1700, 2000
4, 530, 730
4, 1730, 1930
5, 530, 830
5, 1730, 1930
6, 830, 1200

"
Health,Fitness,Health,Highland Runners,10% off,Run yourself down and check out all the amazing items you can select from,,"33.7830349,-84.3645021",1393 North Highland AVE NE,Atlanta,GA,30306,contact@highlandrunners.com,(404) 549-3309,http://www.highlandrunners.com/,facebook.com/pages/HIGHLAND-RUNNERS/339748019424412/,highlandrunners,highlandrunners,"0, 1200, 1700
1, 1000, 2000
2, 1000, 2000
3, 1000, 2000
4, 1000, 2000
5, 1000, 2000
6, 1000, 1900"
Health,Fitness,Health,Jen Raby Fitness,Free 45-Minute Session,Because you'll be hooked afterwards!,,"33.8005981,-84.3600528","1045 Piedmont AVE NE, Suite 200",Atlanta,GA,30309,,(678) 632-5811,http://www.jenrabyfitness.com/,facebook.com/JenRabyFitness/,JenRabyFitness,,"1, 700, 1900
2, 700, 1900
3, 700, 1900
4, 700, 1900
5, 900, 1300
6, 900, 1300
"
Health,Fitness,Health,Kangoo Club,"4 Kangoo Power Classes for $30.00 (50% off)
5 free classes and a pair of carry straps with the purchase of a pair of Kangoo Jumps (112.00 value).","Power that body like J Lo
Order Kangoo Jumps rebound shoes and have 20% donated to Atlanta BeltLine.",,"33.7761389,-84.2829944",1133 Sycamore St,Decatur,GA,30030,info@kangooclubatlanta.com,(678) 575-4748,http://www.kangooclubatlanta.com/,facebook.com/kangooclubatlanta,,kangooclubatl,Unclaimed
Health,Fitness,Health,Vesta Movement,10% off all monthly contracts,We love our Atlanta Beltline Partnership donors!,,"33.7740077,-84.3642218",744 Ponce De Leon Ave NE,Atlanta,GA,30306,info@vestaatl.com,(404) 281-1121,http://www.vestaatl.com/,facebook.com/VestaMovement/,,vestamovement,Unclaimed
